date,tour,tournament,winner,loser,w_games,l_games
2026-07-11,ATP,EFG Swiss Open Gstaad,Calvin Hemery,Daniel Michalski,15,15
2026-07-11,ATP,EFG Swiss Open Gstaad,Dylan Dietrich,Otto Virtanen,13,10
2026-07-11,ATP,Plava Laguna Croatia Open Umag,Juan Carlos Prado Angelo,Marc Majdandzic,12,7
2026-07-11,ATP,Plava Laguna Croatia Open Umag,Nikolas Sanchez Izquierdo,Norbert Gombos,13,8
2026-07-11,ATP,Plava Laguna Croatia Open Umag,Lukas Neumayer,Mili Poljicak,16,14
2026-07-11,ATP,Plava Laguna Croatia Open Umag,Federico Agustin Gomez,Raul Brancaccio,17,13
2026-07-11,ATP,Nordea Open,Paula Badosa,Simona Waltert,14,10
2026-07-11,ATP,EFG Swiss Open Gstaad,Thiago Monteiro,Pierre-Hugues Herbert,20,19
2026-07-11,ATP,Plava Laguna Croatia Open Umag,Andrea Guerrieri,Luca Nardi,13,9
2026-07-11,ATP,Plava Laguna Croatia Open Umag,Marco Cecchinato,Duje Ajdukovic,12,7
2026-07-11,WTA,Grand Est Open 88,Jeline Vandromme,Aurora Zantedeschi,12,7
2026-07-11,WTA,Grand Est Open 88,Mayar Sherif,Leolia Jeanjean,14,11
2026-07-11,WTA,Vanda Pharmaceuticals Athens Open,Viktoria Morvayova,Franziska Sziedat,12,3
2026-07-11,ATP,EFG Swiss Open Gstaad,Federico Cina,Patrick Zahraj,13,8
2026-07-11,ATP,EFG Swiss Open Gstaad,Vitaliy Sachko,Manas Dhamne,12,5
2026-07-11,ATP,Plava Laguna Croatia Open Umag,Marko Topo,Pol Martin Tiffon,6,4
2026-07-11,WTA,Vanda Pharmaceuticals Athens Open,Anastasia Kulikova,Alexandra Panagiotidou,12,2
2026-07-11,ATP,EFG Swiss Open Gstaad,Timofey Skatov,Anirudh Chandrasekar,12,6
2026-07-11,WTA,Vanda Pharmaceuticals Athens Open,Ekaterina Yashina,Lina Glushko,16,14
2026-07-11,WTA,Vanda Pharmaceuticals Athens Open,Elena Micic,Makoto Ninomiya,12,2
2026-07-11,WTA,Vanda Pharmaceuticals Athens Open,Miriana Tona,Maria Rentoumi,12,2
2026-07-11,WTA,Vanda Pharmaceuticals Athens Open,Yasmine Mansouri,Eleni  Tsetsou,14,11
2026-07-11,WTA,Vanda Pharmaceuticals Athens Open,Mina Hodzic,Hao-Ching Chan,12,7
2026-07-11,WTA,Vanda Pharmaceuticals Athens Open,Madison Sieg,Artemis Aslanisvili,12,3
2026-07-11,ATP,Wimbledon,Linda Noskova,Karolina Muchova,17,12
2026-07-11,WTA,Vanda Pharmaceuticals Athens Open,Elina Nepliy,Tang Qianhui,14,14
2026-07-12,WTA,Enka Open,Priska Nugroho,Duru Soke,12,4
2026-07-12,WTA,Generali Open Ladies Kitzbühel,Victoria Bosio,Karina Kovalchuk,12,7
2026-07-12,WTA,Enka Open,Rina Saigo,Naoko Eto,12,0
2026-07-12,WTA,Generali Open Ladies Kitzbühel,Martina Colmegna,Barbora Palicova,13,9
2026-07-12,ATP,Wimbledon,Jannik Sinner,Alexander Zverev,25,20
2026-07-12,WTA,Generali Open Ladies Kitzbühel,Dalila Jakupovic,Margaux Rouvroy,12,2
2026-07-12,WTA,Enka Open,Weronika Falkowska,Daria Zelinskaya,12,6
2026-07-12,WTA,Grand Est Open 88,Mayar Sherif,Jeline Vandromme,17,17
2026-07-12,WTA,Generali Open Ladies Kitzbühel,Gina Feistel,Diletta Cherubini,12,4
2026-07-12,WTA,Enka Open,Yujia Huang,Ayse Bal,13,8
2026-07-12,WTA,Cerity Partners Hall of Fame Open for the Van Alen Cup Presented by the Margaret Fund,Tatjana Maria,Katie Volynets,12,6
2026-07-12,WTA,Enka Open,Daria Khomutsianskaya,Saumya Vig,12,0
2026-07-12,WTA,Vanda Pharmaceuticals Athens Open,Nao Hibino,Miriana Tona,12,4
2026-07-12,WTA,Vanda Pharmaceuticals Athens Open,Viktoria Morvayova,Elina Nepliy,12,5
2026-07-12,WTA,Vanda Pharmaceuticals Athens Open,Elena Micic,Anastasia Kulikova,15,13
2026-07-12,WTA,Vanda Pharmaceuticals Athens Open,Mina Hodzic,Ekaterina Yashina,12,3
2026-07-12,WTA,Unicredit Iasi Open,Zhibek Kulambayeva,Lisa Zaar,13,9
2026-07-12,WTA,Unicredit Iasi Open,Leyre Romero Gormaz,Cristiana Nicoleta Todoni,12,3
2026-07-12,WTA,Vanda Pharmaceuticals Athens Open,Lilli Tagger,Madison Sieg,12,3
2026-07-12,WTA,Unicredit Iasi Open,Georgina Garcia Perez,Andreea Prisacariu,12,5
2026-07-12,WTA,Enka Open,Varvara Panshina,Ilay Yoruk,12,3
2026-07-12,WTA,Unicredit Iasi Open,Elena Pridankina,Eva Maria Ionescu,12,3
2026-07-12,WTA,Unicredit Iasi Open,Elina Avanesyan,Emily Seibold,12,2
2026-07-12,WTA,Unicredit Iasi Open,Irina Fetecau,Tatiana Pieri,17,12
2026-07-12,WTA,Unicredit Iasi Open,Ipek Oz,Martina Okalova,12,3
2026-07-12,WTA,Unicredit Iasi Open,Claire Liu,Maria Sara Popa,12,7
2026-07-12,WTA,Unicredit Iasi Open,Ilinca Amariei,Caroline Werner,12,12
2026-07-12,WTA,Unicredit Iasi Open,Alevtina Ibragimova,Mariia Kozyreva,12,2
2026-07-12,WTA,Vanda Pharmaceuticals Athens Open,Aoi Ito,Yasmine Mansouri,12,4
2026-07-12,ATP,Nordea Open,Martin Krumich,Frederico Ferreira Silva,12,6
2026-07-12,ATP,Plava Laguna Croatia Open Umag,Federico Agustin Gomez,Andrea Guerrieri,12,8
2026-07-12,ATP,Plava Laguna Croatia Open Umag,Marco Cecchinato,Genaro Alberto Olivieri,12,6
2026-07-12,ATP,Plava Laguna Croatia Open Umag,Marko Topo,Lukas Neumayer,14,11
2026-07-12,ATP,Plava Laguna Croatia Open Umag,Juan Carlos Prado Angelo,Nikolas Sanchez Izquierdo,13,9
2026-07-12,ATP,EFG Swiss Open Gstaad,Dylan Dietrich,Thiago Monteiro,15,13
2026-07-12,ATP,EFG Swiss Open Gstaad,Timofey Skatov,Vitaliy Sachko,12,6
2026-07-12,ATP,Nordea Open,Igor Ribeiro Marcondes,Gonzalo Bueno,13,10
2026-07-12,ATP,EFG Swiss Open Gstaad,Federico Cina,Calvin Hemery,12,7
2026-07-12,ATP,Nordea Open,Carlos Sanchez Jover,Roberto Carballes Baena,9,3
2026-07-12,ATP,Nordea Open,Miguel Damas,Nikola Slavic,12,5
2026-07-12,ATP,Nordea Open,Thomas Faurel,Elmer Moller,12,7
2026-07-12,ATP,Nordea Open,Taro Daniel,Federico Coria,12,2
2026-07-12,ATP,Nordea Open,Francesco Passaro,Maks Kasnikowski,15,10
2026-07-12,ATP,Nordea Open,Lautaro Midon,William Rejchtman Vinciguerra,13,9
2026-07-12,ATP,EFG Swiss Open Gstaad,Clement Tabur,Marc-Andrea Huesler,13,10
2026-07-12,WTA,Unicredit Iasi Open,Varvara Lepchenko,Maia Ilinca Burcescu,16,12
2026-07-12,WTA,Unicredit Iasi Open,Carmen Andreea Herea,Ekaterina Kazionova,13,8
2026-07-12,WTA,ATV Bancomat Tennis Open,Alessandra Mazzola,Francesca Gandolfi,12,7
2026-07-12,WTA,Enka Open,Zhang Ying,Arina Arifullina,12,7
2026-07-12,WTA,Enka Open,Isabella Shinikova,Doga Turkmen,12,1
2026-07-12,WTA,ATV Bancomat Tennis Open,Yelyzaveta Kotliar,Amandine Hesse,17,13
2026-07-12,WTA,ATV Bancomat Tennis Open,Elena Malygina,Viola Turini,18,17
2026-07-12,WTA,ATV Bancomat Tennis Open,Noemi Basiletti,Anastasia Abbagnato,12,5
2026-07-13,WTA,Enka Open,Kristina Penickova,Karman Thandi,16,16
2026-07-13,ATP,Nordea Open,Jesper de Jong,Vilius Gaubas,14,11
2026-07-13,ATP,Nordea Open,Miguel Damas,Thomas Faurel,16,16
2026-07-13,ATP,Nordea Open,Taro Daniel,Carlos Sanchez Jover,14,10
2026-07-13,ATP,Nordea Open,Martin Krumich,Francesco Passaro,12,7
2026-07-13,WTA,Unicredit Iasi Open,Alina Charaeva,Victoria Jimenez Kasintseva,12,1
2026-07-13,ATP,Nordea Open,Lautaro Midon,Igor Ribeiro Marcondes,14,11
2026-07-13,WTA,Enka Open,Hanne Vandewinkel,Carol Young Suh Lee,12,6
2026-07-13,WTA,Enka Open,Gabriela Knutson,Irem Kurt,16,10
2026-07-13,WTA,Enka Open,Tatiana Prozorova,Bai Zhuoxuan,12,4
2026-07-13,WTA,Enka Open,Lanlana Tararudee,Kyoka Okamura,12,3
2026-07-13,WTA,Enka Open,Priska Nugroho,Rina Saigo,12,6
2026-07-13,WTA,Enka Open,Weronika Falkowska,Varvara Panshina,12,8
2026-07-13,ATP,EFG Swiss Open Gstaad,Clement Tabur,Jurij Rodionov,17,15
2026-07-13,ATP,EFG Swiss Open Gstaad,Lorenzo Sonego,Joel Josef Schwaerzler,13,10
2026-07-13,WTA,Enka Open,Anastasia Gasanova,Susan Bandecchi,13,10
2026-07-13,ATP,EFG Swiss Open Gstaad,Miomir Kecmanovic,Kilian Feldbausch,13,10
2026-07-13,ATP,EFG Swiss Open Gstaad,Raphael Collignon,Timofey Skatov,16,16
2026-07-13,ATP,EFG Swiss Open Gstaad,Dominic Stricker,Jaume Munar,12,6
2026-07-13,WTA,Enka Open,Daria Khomutsianskaya,Zhang Ying,14,15
2026-07-13,WTA,ATV Bancomat Tennis Open,Federica Urgesi,Yelyzaveta Kotliar,12,3
2026-07-13,ATP,Plava Laguna Croatia Open Umag,Damir Dzumhur,Henrique Rocha,12,3
2026-07-13,ATP,Plava Laguna Croatia Open Umag,Luca Van Assche,Dusan Lajovic,15,15
2026-07-13,ATP,Plava Laguna Croatia Open Umag,Marco Trungelliti,Kyrian Jacquet,12,5
2026-07-13,ATP,Plava Laguna Croatia Open Umag,Dino Prizmic,Vit Kopriva,12,4
2026-07-13,WTA,Enka Open,Isabella Shinikova,Yujia Huang,12,6
2026-07-13,WTA,ATV Bancomat Tennis Open,Sofya Lansere,Elena Malygina,16,11
2026-07-13,WTA,ATV Bancomat Tennis Open,Deborah Chiesa,Lina Gjorcheska,18,13
2026-07-13,WTA,ATV Bancomat Tennis Open,Noma Noha Akugue,Alice Rame,13,6
2026-07-13,WTA,Unicredit Iasi Open,Claire Liu,Ipek Oz,12,5
2026-07-13,WTA,Unicredit Iasi Open,Leyre Romero Gormaz,Zhibek Kulambayeva,12,5
2026-07-13,WTA,Unicredit Iasi Open,Elina Avanesyan,Irina Fetecau,12,4
2026-07-13,WTA,Unicredit Iasi Open,Elena Pridankina,Georgina Garcia Perez,12,2
2026-07-13,WTA,Unicredit Iasi Open,Ilinca Amariei,Carmen Andreea Herea,15,12
2026-07-13,WTA,Unicredit Iasi Open,Petra Marcinko,Nadia Podoroska,15,12
2026-07-13,WTA,Unicredit Iasi Open,Clara Burel,Varvara Lepchenko,15,14
2026-07-13,WTA,ATV Bancomat Tennis Open,Lola Radivojevic,Ren Yufei,12,4
2026-07-13,WTA,ATV Bancomat Tennis Open,Francesca Jones,Dalila Spiteri,13,7
2026-07-13,WTA,ATV Bancomat Tennis Open,Darya Astakhova,Kajsa Rinaldo Persson,12,4
2026-07-13,WTA,Generali Open Ladies Kitzbühel,Veronika Erjavec,Victoria Bosio,18,14
2026-07-13,WTA,Generali Open Ladies Kitzbühel,Polona Hercog,Dalila Jakupovic,14,12
2026-07-13,WTA,Generali Open Ladies Kitzbühel,Eva Bennemann,Anastasia Tikhonova,13,9
2026-07-13,WTA,Vanda Pharmaceuticals Athens Open,Alycia Parks,Valentini Grammatikopoulou,13,10
2026-07-13,WTA,Vanda Pharmaceuticals Athens Open,Elena Micic,Martha Matoula,13,8
2026-07-13,WTA,Vanda Pharmaceuticals Athens Open,Maria Sakkari,Polina Kudermetova,13,6
2026-07-13,WTA,Vanda Pharmaceuticals Athens Open,Harriet Dart,Mina Hodzic,16,15
2026-07-13,WTA,Vanda Pharmaceuticals Athens Open,Sara Bejlek,Viktoria Morvayova,13,5
2026-07-13,WTA,Vanda Pharmaceuticals Athens Open,Lilli Tagger,Marianne Argyrokastriti,12,2
2026-07-13,WTA,Vanda Pharmaceuticals Athens Open,Zheng Qinwen,Jessica Bouzas Maneiro,13,6
2026-07-13,WTA,Vanda Pharmaceuticals Athens Open,Mai Hontama,Magda Linette,13,9
2026-07-13,WTA,Generali Open Ladies Kitzbühel,Gina Feistel,Julia Avdeeva,12,4
2026-07-13,WTA,Generali Open Ladies Kitzbühel,Ekaterina Perelygina,Yasmine Kabbaj,14,13
2026-07-13,WTA,Generali Open Ladies Kitzbühel,Mia Ristic,Mia Pohankova,13,8
2026-07-13,WTA,Generali Open Ladies Kitzbühel,Erika Andreeva,Despina Papamichail,12,3
2026-07-13,WTA,Generali Open Ladies Kitzbühel,Julia Grabher,Elena Ruxandra Bertea,17,14
2026-07-13,WTA,Unicredit Iasi Open,Anna Bondar,Sara Sorribes Tormo,13,9
2026-07-13,WTA,ATV Bancomat Tennis Open,Elizara Yaneva,Oksana Selekhmeteva,12,5
2026-07-13,WTA,Unicredit Iasi Open,Alevtina Ibragimova,Varvara Lepchenko,12,7
